flow_id,switch_id
0,40
0,82
0,15
0,95
0,65
1,90
1,35
1,36
1,95
1,34
1,23
1,56
2,22
2,52
2,99
3,35
3,8
3,57
4,84
4,38
4,86
4,8
4,75
5,91
5,43
5,1
5,23
5,29
5,40
6,2
6,79
6,58
6,23
6,3
6,43
6,75
7,14
7,60
7,92
7,24
8,54
8,51
8,97
8,85
8,74
8,20
8,80
9,85
9,76
9,25
9,27
9,26
9,22
9,33
9,49
10,73
10,95
10,2
10,65
10,41
10,94
10,30
10,13
11,68
11,49
11,74
11,64
12,24
12,9
12,31
12,70
12,61
13,25
13,58
13,91
13,48
14,26
14,75
14,46
14,14
14,97
14,90
15,82
15,79
15,19
15,97
15,71
16,19
16,54
16,73
16,43
16,2
16,56
16,81
16,24
17,19
17,28
17,18
17,4
18,18
18,30
18,37
18,28
18,75
18,0
19,0
19,4
19,44
19,43
19,32
19,53
19,87
20,85
20,94
20,27
20,3
20,44
20,87
20,76
20,46
21,48
21,39
21,16
21,14
22,71
22,30
22,16
22,12
22,59
22,35
22,11
22,55
23,3
23,88
23,14
23,44
23,26
23,78
24,66
24,4
24,8
24,58
24,80
24,79
25,94
25,5
25,22
25,7
26,43
26,10
26,28
26,63
26,64
27,54
27,63
27,28
27,37
28,10
28,18
28,49
28,71
28,80
28,94
28,53
29,39
29,6
29,1
29,35
29,21
29,23
29,81
30,90
30,99
30,43
30,34
30,18
31,46
31,33
31,91
32,52
32,18
32,15
32,3
32,65
32,33
33,26
33,12
33,40
33,8
33,2
33,50
33,93
33,99
34,61
34,47
34,50
34,77
34,37
34,19
34,67
35,89
35,92
35,54
35,16
35,32
35,97
36,14
36,64
36,60
36,8
37,96
37,63
37,53
37,56
38,92
38,15
38,7
39,75
39,16
39,71
39,23
39,59
39,98
40,61
40,74
40,85
41,44
41,76
41,95
41,33
42,13
42,91
42,56
42,26
42,5
43,34
43,61
43,79
43,8
43,5
44,34
44,26
44,50
44,0
45,24
45,32
45,99
45,83
45,64
45,33
45,2
46,74
46,68
46,19
46,86
46,60
46,39
47,69
47,94
47,9
48,62
48,88
48,91
48,6
48,46
48,39
48,21
48,10
49,15
49,71
49,41
49,55
49,49
49,44
49,58
49,26
50,54
50,59
50,47
50,22
50,9
50,83
50,58
50,33
51,69
51,94
51,80
52,69
52,4
52,12
52,30
52,1
52,18
52,95
53,3
53,34
53,99
53,78
53,67
53,54
54,45
54,11
54,10
54,83
55,37
55,55
55,25
55,84
55,7
56,51
56,98
56,74
56,14
56,86
56,63
56,78
57,10
57,94
57,20
58,65
58,9
58,96
59,51
59,12
59,81
59,64
59,56
59,60
59,93
60,13
60,55
60,78
61,66
61,5
61,95
61,31
61,99
61,75
61,71
61,60
62,47
62,87
62,63
62,25
62,30
62,59
62,83
63,72
63,58
63,40
63,26
64,48
64,28
64,0
65,59
65,19
65,95
65,67
65,1
65,45
66,56
66,26
66,35
66,80
66,21
67,81
67,17
67,92
67,19
68,83
68,55
68,78
68,9
68,98
68,89
69,92
69,13
69,89
69,22
69,11
69,59
69,55
70,96
70,81
70,60
70,16
70,90
70,43
70,51
71,79
71,88
71,67
71,27
71,49
72,85
72,92
72,36
73,95
73,63
73,23
74,60
74,39
74,97
75,13
75,18
75,83
75,69
75,1
75,23
75,78
75,29
76,4
76,74
76,6
76,0
77,35
77,53
77,72
77,39
77,78
77,63
77,99
78,74
78,32
78,45
78,20
78,62
78,37
78,40
79,46
79,32
79,90
79,82
79,85
80,52
80,77
80,89
80,57
80,42
80,35
80,43
80,37
81,82
81,57
81,43
81,67
82,29
82,86
82,36
82,47
83,72
83,83
83,89
83,59
83,40
83,73
83,66
83,56
84,82
84,36
84,29
84,5
85,97
85,35
85,1
85,19
85,34
85,92
85,76
85,47
86,84
86,75
86,41
86,20
87,15
87,89
87,2
87,80
87,81
88,56
88,7
88,58
88,66
88,36
89,1
89,95
89,69
90,52
90,39
90,99
90,68
91,1
91,84
91,70
91,27
91,86
91,66
92,53
92,44
92,33
92,66
92,91
93,14
93,69
93,98
94,76
94,49
94,74
95,14
95,99
95,11
95,39
95,40
95,38
96,64
96,33
96,69
96,75
96,9
96,71
96,59
96,36
97,14
97,29
97,10
97,84
97,63
97,34
98,8
98,5
98,99
98,14
98,38
98,15
98,91
99,0
99,26
99,82
100,20
100,28
100,11
100,19
101,22
101,87
101,74
101,45
101,1
102,99
102,63
102,79
103,52
103,18
103,47
103,85
104,38
104,16
104,65
104,59
104,87
104,98
104,25
105,71
105,89
105,75
106,11
106,21
106,54
106,20
106,46
106,15
107,26
107,54
107,18
107,84
107,97
107,16
107,46
107,85
108,83
108,48
108,87
108,45
108,10
108,31
108,49
109,39
109,14
109,66
109,15
110,46
110,23
110,86
110,78
110,21
110,34
110,3
111,98
111,12
111,99
111,59
111,23
111,62
111,81
112,99
112,93
112,44
112,53
112,59
112,0
112,56
113,86
113,67
113,1
113,73
113,26
114,94
114,75
114,93
114,31
115,48
115,75
115,6
115,72
115,10
115,21
116,45
116,94
116,11
116,38
116,42
117,12
117,26
117,7
117,84
117,59
117,9
118,78
118,44
118,67
118,73
119,39
119,45
119,22
119,40
120,8
120,27
120,17
120,32
120,69
120,67
120,21
121,8
121,90
121,65
121,80
121,24
121,9
122,44
122,81
122,90
122,54
122,12
122,39
122,47
122,10
123,15
123,0
123,32
123,47
123,66
123,60
124,63
124,39
124,44
124,49
124,15
124,42
124,35
125,90
125,84
125,61
125,65
126,92
126,40
126,33
126,81
126,27
126,26
126,46
127,57
127,97
127,62
127,64
127,19
127,27
127,75
128,95
128,23
128,10
128,87
128,78
128,16
128,13
129,62
129,70
129,19
129,94
129,85
129,47
129,14
129,23
130,72
130,78
130,77
130,39
130,20
130,30
130,42
131,59
131,67
131,86
132,42
132,66
132,56
132,81
132,73
132,83
132,82
132,8
133,42
133,17
133,96
133,62
133,73
133,63
134,37
134,61
134,70
134,10
134,31
134,98
134,56
134,17
135,31
135,81
135,17
136,10
136,15
136,23
137,17
137,57
137,73
137,46
138,33
138,95
138,72
139,71
139,10
139,24
140,81
140,3
140,28
140,85
140,64
140,61
141,56
141,9
141,15
141,55
141,84
142,95
142,55
142,17
142,3
142,98
142,52
142,18
143,51
143,93
143,25
143,72
143,4
143,6
144,8
144,17
144,80
144,56
145,74
145,61
145,39
145,46
145,36
145,45
146,47
146,89
146,88
146,56
146,21
146,4
147,11
147,83
147,18
147,97
147,82
147,64
148,94
148,34
148,77
148,42
149,72
149,2
149,40
149,23
149,73
150,4
150,73
150,22
150,33
150,77
151,13
151,63
151,45
151,64
151,56
151,44
151,87
151,8
152,87
152,45
152,66
152,31
152,59
152,41
153,24
153,37
153,7
154,47
154,1
154,36
154,71
154,94
154,63
155,82
155,21
155,79
155,35
155,10
155,14
155,62
156,80
156,69
156,87
156,21
157,36
157,82
157,41
158,58
